movie_id,titleType,originalTitle,isAdult
tt6292852,movie,I Am Mother,0
tt1860242,movie,The Highwaymen,0
tt2274648,movie,Hellboy,0
tt4139588,movie,Polar,0
tt5028340,movie,Mary Poppins Returns,0
tt8503618,movie,Hamilton,0
tt8629748,movie,Spenser Confidential,0
tt8613070,movie,Portrait de la jeune fille en feu,0
tt7550000,movie,Project Power,0
tt8267604,movie,Capharnaüm,0
tt6878306,movie,News of the World,0
tt9071322,movie,Dark Waters,0
tt3513548,movie,Richard Jewell,0
tt8364368,movie,Crawl,0
tt10539608,movie,The Midnight Sky,0
tt6924650,movie,Midway,0
tt3799232,movie,The Kissing Booth,0
tt10554232,movie,Dara iz Jasenovca,0
tt7939766,movie,I'm Thinking of Ending Things,0
tt6513120,movie,Fighting with My Family,0
tt2531344,movie,Blockers,0
tt5774060,movie,Underwater,0
tt7456310,movie,Anna,0
tt1413492,movie,12 Strong,0
tt4560436,movie,Mile 22,0
tt6663582,movie,The Spy Who Dumped Me,0
tt3224458,movie,A Beautiful Day in the Neighborhood,0
tt4575576,movie,Christopher Robin,0
tt8623904,movie,Last Christmas,0
tt1634106,movie,Bloodshot,0
tt10886166,movie,365 dni,0
tt8695030,movie,The Dead Don't Die,0
tt5688932,movie,Sorry to Bother You,0
tt6998518,movie,Mandy,0
tt3861390,movie,Dumbo,0
tt4682266,movie,The New Mutants,0
tt7014006,movie,Eighth Grade,0
tt3387520,movie,Scary Stories to Tell in the Dark,0
tt10280276,movie,Coolie No. 1,0
tt8075192,movie,Manbiki kazoku,0
tt1034415,movie,Suspiria,0
tt10633456,movie,Minari,0
tt6977338,movie,Good Boys,0
tt6921996,movie,Johnny English Strikes Again,0
tt4532826,movie,Robin Hood,0
tt8350360,movie,Annabelle Comes Home,0
tt4003440,movie,The House That Jack Built,0
tt2990140,movie,The Christmas Chronicles,0
tt1137450,movie,Death Wish,0
tt10618286,movie,Mank,0
tt8155288,movie,Happy Death Day 2U,0
tt5220122,movie,Hotel Transylvania 3: Summer Vacation,0
tt1226837,movie,Beautiful Boy,0
tt4332232,movie,Fractured,0
tt5033998,movie,Charlie's Angels,0
tt6679794,movie,Outlaw King,0
tt2452244,movie,Isn't It Romantic,0
tt2709692,movie,The Grinch,0
tt5719748,movie,Cold Pursuit,0
tt8633478,movie,Run,0
tt8359848,movie,Climax,0
tt6850820,movie,Peppermint,0
tt4916630,movie,Just Mercy,0
